통합 핵심 오류코드 50선  (형식: XX-YY-NN),,,,,,
Critical → High → Medium 순 정렬  |  공정 오류(HV HM HS SV SS) + 앱 오류(AN AM AD AS AG AX AH),,,,,,
,,,,,,
오류코드,대분류,오류명,발생 상황,심각도,대응 방법,구 코드 참조
HM-PO-01,하드웨어 · 기계,비상 정지 버튼 활성,작업자 또는 안전 센서가 비상 정지 트리거,Critical,"즉시 라인 중단, 원인 파악 후 재가동 승인",구 HV-MC-PO-51
HM-PO-02,하드웨어 · 기계,과전류 트립 발생,모터·제어반에 허용 이상 전류 유입,Critical,차단기 점검 및 원인 장비 교체 후 재투입,구 HV-MC-PO-52
SV-PR-01,소프트웨어 · 비전,부품 누락 (Missing) 감지,필수 부품이 없는 제품 검출,Critical,해당 제품 즉시 불량 처리 및 공정 점검,구 SV-VS-PR-53
AM-NT-01,앱 · 모니터링,임계값 초과 알림 미발송,위험 수치 감지 후 알림 파이프라인 오류로 누락,Critical,"알림 파이프라인 즉시 점검, 임시 수동 모니터링",
HM-TE-01,하드웨어 · 기계,메인모터 과열 위험,모터 온도가 위험 임계치 초과,High,"모터 즉시 정지, 냉각 후 팬·열방산 점검",구 HV-MC-TE-52
HM-VI-01,하드웨어 · 기계,컨베이어 진동 과다,컨베이어 벨트 진동이 허용치 초과,High,라인 정지 후 체결 볼트·베어링 점검,구 HV-MC-VI-51
HM-AC-01,하드웨어 · 기계,그리퍼 흡착 압력 저하,흡착 그리퍼 진공압 기준치 미달,High,진공 라인 및 씰 상태 점검,구 HV-MC-AC-51
HM-PR-01,하드웨어 · 기계,가이드 레일 이탈,이송 중 제품이 가이드 레일 벗어남,High,즉시 정지 후 레일 정렬 및 센서 재보정,구 HV-MC-PR-51
HM-PR-02,하드웨어 · 기계,근접 센서 감지 불량,이송 위치 확인 근접 센서 신호 오류,High,센서 거리 재조정 또는 교체,구 HV-MC-PR-55
HM-PO-03,하드웨어 · 기계,전력 누전 감지,장비 본체에서 누전 신호 감지,High,즉시 전원 차단 후 누전 위치 측정·절연 처리,구 HV-MC-PO-53
HV-PR-01,하드웨어 · 비전,카메라 셔터 고장,카메라 기계식 셔터 오작동으로 촬영 불가,High,카메라 모듈 교체 및 검사 재개,구 HV-VS-PR-54
HV-PR-02,하드웨어 · 비전,조명 컨트롤러 단선,비전 조명 제어 케이블 단선,High,케이블 교체 및 조명 출력 재확인,구 HV-VS-PR-52
HS-NE-01,하드웨어 · 시스템,LAN 케이블 물리적 단선,제어 PC와 장비 간 네트워크 케이블 단선,High,케이블 교체 후 통신 복구,구 HV-SY-NE-51
HS-DA-01,하드웨어 · 시스템,SD카드 쓰기 실패,라즈베리파이 로컬 저장 매체 쓰기 오류,High,SD카드 교체 또는 저장 경로 재설정,구 HV-SY-DA-51
HS-PO-01,하드웨어 · 시스템,메인 전압 강하,공급 전압이 허용 하한치 이하로 떨어짐,High,전원 공급 장치 점검 및 UPS 상태 확인,구 HV-SY-PO-51
SV-PR-02,소프트웨어 · 비전,물리적 찍힘 (Dent) 감지,제품 표면 물리적 변형 검출,High,"해당 제품 불량 처리, 이송 충격 원인 조사",구 SV-VS-PR-52
SV-PR-03,소프트웨어 · 비전,패턴 단선 감지,회로 패턴 단선 불량 검출,High,해당 제품 불량 처리 및 공정별 원인 분석,구 SV-VS-PR-56
SV-PR-04,소프트웨어 · 비전,크랙 감지 (Crack),제품 표면 또는 내부 균열 검출,High,해당 제품 격리 및 공정 압력·온도 점검,구 SV-VS-PR-58
SS-DA-01,소프트웨어 · 시스템,DB 쓰기 권한 오류,검사 결과 DB 저장 중 권한 거부,High,DB 계정 권한 재설정 및 서버 로그 확인,구 SV-SY-DA-51
SS-NE-01,소프트웨어 · 시스템,소켓 연결 끊김,앱-서버 간 TCP 소켓 연결 비정상 종료,High,"소켓 재연결 시도, 방화벽 및 서버 상태 확인",구 SV-SY-NE-52
AM-CN-01,앱 · 모니터링,모니터링 기기 연결 끊김,라즈베리파이 등 하드웨어 통신 단절,High,장비 전원 및 네트워크 연결 상태 점검,
AM-CN-02,앱 · 모니터링,센서 데이터 수신 실패,센서 스트림 데이터 미수신,High,센서 및 통신 라인 점검,
AM-SY-01,앱 · 모니터링,실시간 모니터링 동기화 끊김,대시보드 실시간 갱신 중단,High,WebSocket 재연결 및 폴링 모드 전환,
AM-TM-01,앱 · 모니터링,센서 폴링 타임아웃,정해진 주기 내 센서 응답 없음,High,폴링 주기 재설정 및 장비 상태 확인,
AM-VL-01,앱 · 모니터링,센서값 유효 범위 초과,물리적으로 불가능한 센서 수치 수신,High,센서 보정 및 하드웨어 점검,
AN-CN-01,앱 · 네트워크,서버 연결 실패,백엔드 서버 다운 또는 네트워크 단절,High,서버 상태 확인 및 네트워크 점검,
AN-CN-02,앱 · 네트워크,WebSocket 연결 끊김,실시간 소켓 연결 비정상 종료,High,"자동 재연결 시도, 3회 실패 시 수동 재시작",
AN-CN-03,앱 · 네트워크,API 호출 실패,REST API 호출 중 오류 응답,High,HTTP 상태코드 확인 후 재시도,
AH-CN-01,앱 · 장비연동,장비 통신 연결 실패,장비와 앱 간 초기 통신 연결 불가,High,IP/포트 설정 및 방화벽 규칙 확인,
AH-CN-02,앱 · 장비연동,장비 응답 없음,연결 후 장비로부터 응답 수신 불가,High,장비 전원 및 네트워크 상태 점검,
AH-TM-01,앱 · 장비연동,장비 응답 타임아웃,커맨드 전송 후 응답 시간 초과,High,네트워크 지연 점검 및 타임아웃값 재설정,
HM-TE-02,하드웨어 · 기계,메인모터 과열 주의,모터 온도가 경고 임계치 초과,Medium,"팬 동작 확인 및 부하 감소, 지속 모니터링",구 HV-MC-TE-51
HV-VA-01,하드웨어 · 비전,카메라 지그 수평 이탈,카메라 고정 지그 기울기 발생,Medium,지그 재조정 및 수평 보정 후 검사 재개,구 HV-VS-VA-51
HV-PR-03,하드웨어 · 비전,카메라 케이블 노이즈,카메라 신호 케이블에 전자기 노이즈 유입,Medium,케이블 차폐 처리 또는 경로 변경,구 HV-VS-PR-53
SV-PR-05,소프트웨어 · 비전,표면 스크래치 감지,제품 표면 긁힘 불량 검출,Medium,해당 제품 등급 분류 및 이송 경로 마찰 점검,구 SV-VS-PR-51
SV-PR-06,소프트웨어 · 비전,오정렬 (Misaligned) 감지,제품 탑재 방향·위치 어긋남 검출,Medium,해당 제품 재투입 또는 불량 처리,구 SV-VS-PR-54
SV-VA-01,소프트웨어 · 비전,AI 판독 신뢰도 저하,AI 검사 모델 예측 신뢰도 기준 미달,Medium,모델 재보정 또는 수동 검사 전환,구 SV-VS-VA-51
SV-VA-02,소프트웨어 · 비전,분석 타임아웃 발생,이미지 분석 처리 시간 초과,Medium,제어 보드 부하 확인 및 모델 경량화 검토,구 SV-VS-VA-52
SV-VA-03,소프트웨어 · 비전,이미지 노이즈 과다 감지,카메라 이미지에 전자기·광원 노이즈가 과다하게 유입되어 AI 검사 정확도 저하,Medium,"노이즈 발생 광원·케이블 점검, 카메라 노이즈 필터 설정 조정 및 AI 모델 재판독 요청",
AD-DA-01,앱 · 데이터,로컬 저장 실패,AsyncStorage 또는 SQLite 쓰기 오류,Medium,저장소 권한·용량 확인,
AD-VL-01,앱 · 데이터,필수 데이터 누락,API 응답에서 필수 필드 없음,Medium,서버 측 데이터 생성 로직 점검,
AD-PR-01,앱 · 데이터,JSON 파싱 오류,수신 데이터 JSON 형식 불량,Medium,"서버 응답 로그 확인, API 담당자 문의",
AS-AT-01,앱 · 보안,로그인 실패,ID/PW 불일치 또는 계정 없음,Medium,인증 정보 재확인 및 비밀번호 재설정,
AS-AT-02,앱 · 보안,액세스 토큰 만료,JWT 또는 세션 토큰 유효 기간 초과,Medium,"토큰 자동 갱신 시도, 실패 시 재로그인",
AS-AT-03,앱 · 보안,비정상 로그인 패턴 감지,단시간 다수 로그인 시도 감지,Medium,계정 잠금 후 본인 확인 절차 안내,
AN-TM-01,앱 · 네트워크,요청 타임아웃,요청 전송 후 지정 시간 내 응답 없음,Medium,타임아웃 설정값 검토 및 서버 부하 확인,
AN-SY-01,앱 · 네트워크,서버 데이터 동기화 실패,로컬·서버 간 데이터 불일치 발생,Medium,"수동 동기화 실행, 증상 지속 시 로그 전송",
AM-NT-02,앱 · 모니터링,알림 전송 실패,푸시 알림 발송 중 오류,Medium,FCM 설정 및 기기 알림 권한 확인,
AH-PR-01,앱 · 장비연동,통신 프로토콜 불일치,장비 통신 프로토콜 버전 차이 발생,Medium,프로토콜 버전 통일 및 펌웨어 업데이트,
AH-SY-01,앱 · 장비연동,장비 상태 동기화 실패,앱 내 장비 상태와 실제 장비 상태 불일치,Medium,강제 상태 새로고침 및 장비 재연결,
AX-IN-01,앱 · 시스템,앱 초기화 실패,앱 최초 실행 시 초기화 루틴 오류,Medium,"앱 재시작, 증상 지속 시 재설치",
AG-RD-01,앱 · 화면(GUI),차트/그래프 렌더링 오류,모니터링 대시보드 차트 표시 실패,Medium,데이터 유효성 확인 및 차트 라이브러리 재초기화,
